Atom IX,BE [eV]
0,1.5921402071898656
2,2.427667628409647
4,1.4745181875299715
5,2.2218401132830534
6,1.1010164675224896
7,-0.58179700715473
8,-1.246508117857799
9,-0.7154523799232493
